"Gene","Rank"
"AT3G56840",712
"AT1G47720",713
"AT1G51720",714
"AT4G02680",715
"AT5G38360",716
"AT1G77850",717
"AT1G05500",718
"AT3G61140",719
"AT4G17370",720
"AT3G17205",721
"AT4G14965",722
"AT2G44090",723
"AT5G06430",724
"AT3G06270",725
"AT4G37130",726
"AT2G17190",727
"AT5G61970",728
"AT5G26760",729
"AT5G14250",730
"AT2G40730",731
"AT5G23395",732
"AT3G16760",733
"AT3G26990",734
"AT1G06870",735
"AT4G26650",736
"AT1G57700",737
"AT4G25610",738
"AT2G02910",739
"AT5G20930",740
"AT3G47850",741
"AT5G50340",742
"AT5G51940",743
"AT5G50960",744
"AT1G14670",745
"AT5G14140",746
"AT5G47890",747
"AT4G37280",748
"AT4G12650",749
"AT1G03260",750
"AT1G74230",751
"AT3G07950",752
"AT3G26134",753
"AT5G09390",754
"AT3G44340",755
"AT2G44440",756
"AT3G55260",757
"AT2G32850",758
"AT5G65060",759
"AT5G66010",760
"AT5G26940",761
"AT1G12410",762
"AT1G26180",763
"AT5G63000",764
"AT1G06770",765
"AT4G01210",766
"AT5G20920",767
"AT4G32660",768
"AT3G04310",769
"AT1G54370",770
"AT4G12770",771
"AT1G55915",772
"AT1G09840",773
"AT1G12120",774
"AT1G71696",775
"AT1G12470",776
"AT1G45233",777
"AT5G43822",778
"AT1G24267",779
"AT1G17130",780
"AT3G51050",781
"AT2G17790",782
"AT4G15880",783
"AT2G34520",784
"AT5G08190",785
"AT3G49390",786
"AT1G35470",787
"AT2G27350",788
"AT2G20650",789
"AT2G27020",790
"AT2G01330",791
"AT3G21280",792
"AT5G64830",793
"AT1G04230",794
"AT1G35510",795
"AT1G69340",796
"AT5G27650",797
"AT1G19430",798
"AT3G06650",799
"AT4G08810",800
"AT1G73875",801
"AT4G25970",802
"AT4G27050",803
"AT2G03450",804
"AT4G18372",805
"AT5G42990",806
"AT2G39760",807
"AT3G03550",808
"AT5G24340",809
"AT1G18580",810
"AT1G77480",811
"AT2G40800",812
"AT3G61240",813
"AT4G08240",814
"AT3G07480",815
"AT1G05780",816
"AT4G32180",817
"AT1G10950",818
"AT2G24640",819
"AT1G18490",820
"AT4G31920",821
"AT2G23520",822
"AT5G58800",823
"AT1G65430",824
"AT2G29900",825
"AT5G03290",826
"AT2G25300",827
"AT5G09860",828
"AT3G26618",829
"AT2G41490",830
"AT3G57710",831
"AT1G52730",832
"AT1G48160",833
"AT3G03740",834
"AT3G15970",835
"AT4G12340",836
"AT4G16143",837
"AT1G10290",838
"AT4G02840",839
"AT2G30120",840
"AT1G28680",841
"AT3G54480",842
"AT5G61830",843
"AT1G55750",844
"AT3G12290",845
"AT5G52530",846
"AT1G56590",847
"AT2G04630",848
"AT4G09520",849
"AT1G28760",850
"AT2G18465",851
"AT3G45770",852
"AT4G01370",853
"AT5G38830",854
"AT3G07270",855
"AT3G60820",856
"AT2G35740",857
"AT3G48890",858
"AT5G51020",859
"AT1G49590",860
"AT2G43770",861
"AT3G13445",862
"AT2G25570",863
"AT1G67325",864
"AT3G13235",865
"AT5G27740",866
"AT2G01270",867
"AT1G27070",868
"AT1G06200",869
"AT3G02050",870
"AT3G12200",871
"AT3G62620",872
"AT1G31280",873
"AT5G65685",874
"AT4G35760",875
"AT3G17920",876
"AT2G46060",877
"AT1G73440",878
"AT1G67440",879
"AT5G63680",880
"AT1G16825",881
"AT1G63855",882
"AT3G03773",883
"AT1G11630",884
"AT1G18480",885
"AT5G66950",886
"AT5G21326",887
"AT2G28230",888
"AT2G47170",889
"AT4G35220",890
"AT1G17370",891
"AT1G47200",892
"AT1G50500",893
"AT4G33410",894
"AT5G04710",895
"AT2G17980",896
"AT2G35736",897
"AT5G46630",898
"AT3G02860",899
"AT2G01350",900
"AT2G47310",901
"AT4G09580",902
"AT5G38460",903
"AT3G52610",904
"AT4G30580",905
"AT2G17970",906
"AT2G40090",907
"AT3G59520",908
"AT5G46210",909
"AT4G25280",910
"AT2G34250",911
"AT4G29860",912
"AT3G11850",913
"AT5G51280",914
"AT1G21190",915
"AT3G05070",916
"AT3G16270",917
"AT5G48970",918
"AT1G77140",919
"AT5G44450",920
"AT1G68070",921
"AT1G50140",922
"AT2G16930",923
"AT3G04780",924
"AT4G18380",925
"AT2G30710",926
"AT5G41770",927
"AT2G15730",928
"AT4G16770",929
"AT1G79650",930
"AT5G35160",931
"AT2G18110",932
"AT3G46440",933
"AT3G33530",934
"AT5G17250",935
"AT1G64430",936
"AT4G09630",937
"AT5G09810",938
"AT3G13480",939
"AT2G46090",940
"AT4G24470",941
"AT2G30050",942
"AT2G32810",943
"AT5G16050",944
"AT4G31040",945
"AT3G50880",946
"AT1G80910",947
"AT5G18475",948
"AT4G38630",949
"AT1G23900",950
"AT2G19430",951
"AT1G64440",952
"AT2G29390",953
"AT2G13290",954
"AT3G06340",955
"AT5G18410",956
"AT5G43320",957
"AT1G61150",958
"AT5G44860",959
"AT1G01820",960
"AT3G58580",961
"AT2G28590",962
"AT2G03430",963
"AT1G55520",964
"AT1G56310",965
"AT4G28030",966
"AT2G20790",967
"AT1G50120",968
"AT1G08350",969
"AT3G59390",970
"AT5G11720",971
"AT2G28800",972
"AT1G52320",973
"AT1G79210",974
"AT5G18280",975
"AT3G55520",976
"AT5G01780",977
"AT3G15470",978
"AT5G51510",979
"AT5G53000",980
"AT5G36880",981
"AT1G73350",982
"AT3G22480",983
"AT5G63840",984
"AT3G04580",985
"AT3G15980",986
"AT5G19570",987
"AT4G35530",988
"AT2G35320",989
"AT3G56680",990
"AT2G44270",991
"AT3G58760",992
"AT5G07360",993
"AT3G10850",994
"AT5G46170",995
"AT1G71270",996
"AT5G60160",997
"AT5G51430",998
"AT4G38120",999
"AT3G12100",1000
